updated=67
lowConfidence=932

actions-by-need/accountability/AccountabilityActions: DUTY_CHART_POST -> rest (sleep and passive recovery; cost-signals)
actions-by-need/fairness/FairnessActions: RANDOM_AUDIT_DRAW -> rest (sleep and passive recovery; cost-signals)
actions-by-need/fairness/FairnessActions: BLIND_BID_ENVELOPES -> rest (sleep and passive recovery; cost-signals)
actions-by-need/fairness/FairnessActions: PRO_RATA_REWARD_SPLIT -> rest (sleep and passive recovery; cost-signals)
actions-by-need/fairness/FairnessActions: DISPUTE_PANEL_THREE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/fairness/FairnessActions: TURN_ORDER_LOTTERY -> rest (sleep and passive recovery; cost-signals)
actions-by-need/fairness/FairnessActions: EQUAL_ACCESS_NOTICE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/fairness/FairnessActions: CAP_FAVOR_EXCEPTIONS -> rest (sleep and passive recovery; cost-signals)
actions-by-need/fairness/FairnessActions: STANDARD_WAGE_TABLE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/fairness/FairnessActions: PUBLISH_WORK_LOGS -> rest (sleep and passive recovery; cost-signals)
actions-by-need/fairness/FairnessActions: TWO_KEYS_STORES -> rest (sleep and passive recovery; cost-signals)
actions-by-need/fairness/FairnessActions: RESTITUTION_FOR_HARM -> rest (sleep and passive recovery; cost-signals)
actions-by-need/fairness/FairnessActions: APPEALS_WINDOW -> rest (sleep and passive recovery; cost-signals)
actions-by-need/fairness/FairnessActions: ROTATE_FAVORED_TASKS -> rest (sleep and passive recovery; cost-signals)
actions-by-need/fairness/FairnessActions: SANCTION_FOR_BIAS -> rest (sleep and passive recovery; cost-signals)
actions-by-need/faith/FaithActions: PRIVATE_DEVOTION -> rest (sleep and passive recovery; cost-signals)
actions-by-need/faith/FaithActions: LIGHT_VOTIVE_CANDLE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/faith/FaithActions: ATTEND_SERVICE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/faith/FaithActions: CONFESS_TRANSGRESSION -> rest (sleep and passive recovery; cost-signals)
actions-by-need/faith/FaithActions: MAKE_VOW -> rest (sleep and passive recovery; cost-signals)
actions-by-need/faith/FaithActions: FULFILL_VOW -> rest (sleep and passive recovery; cost-signals)
actions-by-need/faith/FaithActions: DONATE_ALMS -> rest (sleep and passive recovery; cost-signals)
actions-by-need/faith/FaithActions: CARE_FOR_SHRINE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/faith/FaithActions: STUDY_SACRED_TEXTS -> rest (sleep and passive recovery; cost-signals)
actions-by-need/faith/FaithActions: CONSULT_PRIEST -> rest (sleep and passive recovery; cost-signals)
actions-by-need/faith/FaithActions: FASTING_OBSERVANCE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/faith/FaithActions: PROCESSION_PARTICIPATE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/faith/FaithActions: BLESS_HOME -> rest (sleep and passive recovery; cost-signals)
actions-by-need/faith/FaithActions: PRAYER_CHAIN_COMMUNITY -> rest (sleep and passive recovery; cost-signals)
actions-by-need/faith/FaithActions: TESTIMONY_SHARE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/faith/FaithActions: PILGRIMAGE_STEP_FAITH -> rest (sleep and passive recovery; cost-signals)
actions-by-need/family/FamilyActions: PROVIDE_FOOD_TO_FAMILY -> rest (sleep and passive recovery; cost-signals)
actions-by-need/family/FamilyActions: CARE_FOR_CHILD -> rest (sleep and passive recovery; cost-signals)
actions-by-need/family/FamilyActions: TEACH_CHILD_SKILL -> rest (sleep and passive recovery; cost-signals)
actions-by-need/family/FamilyActions: CARE_FOR_ELDER -> rest (sleep and passive recovery; cost-signals)
actions-by-need/family/FamilyActions: REPAIR_FAMILY_HOME -> rest (sleep and passive recovery; cost-signals)
actions-by-need/family/FamilyActions: GUARD_FAMILY_HOME -> rest (sleep and passive recovery; cost-signals)
actions-by-need/family/FamilyActions: MEDIATE_FAMILY_CONFLICT -> rest (sleep and passive recovery; cost-signals)
actions-by-need/family/FamilyActions: SAVE_FOR_DOWRY -> rest (sleep and passive recovery; cost-signals)
actions-by-need/family/FamilyActions: ARRANGE_MARRIAGE_MEETING -> rest (sleep and passive recovery; cost-signals)
actions-by-need/family/FamilyActions: HOST_FAMILY_GATHERING -> rest (sleep and passive recovery; cost-signals)
actions-by-need/family/FamilyActions: HONOR_ANCESTORS_FAMILY -> rest (sleep and passive recovery; cost-signals)
actions-by-need/family/FamilyActions: ALLOCATE_INHERITANCE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/family/FamilyActions: BUILD_EXTENSION_FOR_FAMILY -> rest (sleep and passive recovery; cost-signals)
actions-by-need/family/FamilyActions: SHARE_TOOLS_WITH_KIN -> rest (sleep and passive recovery; cost-signals)
actions-by-need/family/FamilyActions: ESCORT_FAMILY_MEMBER -> rest (sleep and passive recovery; cost-signals)
actions-by-need/family/FamilyActions: FOSTER_OR_ADOPT_CHILD -> rest (sleep and passive recovery; cost-signals)
actions-by-need/fear/FearActions: LIGHT_TORCHES -> rest (sleep and passive recovery; cost-signals)
actions-by-need/fear/FearActions: HOLD_FORMATION_DRILL -> rest (sleep and passive recovery; cost-signals)
actions-by-need/fear/FearActions: REASSURE_PUBLIC_SPEECH -> rest (sleep and passive recovery; cost-signals)
actions-by-need/fear/FearActions: ESCORT_VULNERABLE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/fear/FearActions: MAP_SAFE_ROUTE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/fear/FearActions: WARD_SIGNS_PLACEMENT -> rest (sleep and passive recovery; cost-signals)
actions-by-need/fear/FearActions: SET_TRAPS_EARLY_WARNING -> rest (sleep and passive recovery; cost-signals)
actions-by-need/fear/FearActions: NIGHT_WATCH_ROTATION -> rest (sleep and passive recovery; cost-signals)
actions-by-need/fear/FearActions: FORTIFY_DOORS_WINDOWS -> rest (sleep and passive recovery; cost-signals)
actions-by-need/fear/FearActions: EVACUATION_DRILL -> rest (sleep and passive recovery; cost-signals)
actions-by-need/fear/FearActions: COUNSELING_SESSION -> rest (sleep and passive recovery; cost-signals)
actions-by-need/fear/FearActions: SHARE_THREAT_INTEL -> rest (sleep and passive recovery; cost-signals)
actions-by-need/fear/FearActions: MONSTER_LORE_SESSION -> rest (sleep and passive recovery; cost-signals)
actions-by-need/fear/FearActions: ISSUE_CLEAR_RULES_CURFEW -> rest (sleep and passive recovery; cost-signals)
actions-by-need/fear/FearActions: DISTRIBUTE_TALISMANS -> rest (sleep and passive recovery; cost-signals)
actions-by-need/fear/FearActions: EXORCISM_RITE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/focus/FocusActions: SET_QUIET_HOURS -> rest (sleep and passive recovery; cost-signals)
actions-by-need/focus/FocusActions: RESERVE_WORK_NOOK -> rest (sleep and passive recovery; cost-signals)
actions-by-need/focus/FocusActions: PREP_TOOLS_AND_MATERIALS -> rest (sleep and passive recovery; cost-signals)
actions-by-need/focus/FocusActions: SINGLE_TASK_SPRINT -> rest (sleep and passive recovery; cost-signals)
actions-by-need/focus/FocusActions: BATCH_SIMILAR_TASKS -> rest (sleep and passive recovery; cost-signals)
actions-by-need/focus/FocusActions: USE_CHECKLIST -> rest (sleep and passive recovery; cost-signals)
actions-by-need/focus/FocusActions: TIMEBOX_WITH_TIMER -> rest (sleep and passive recovery; cost-signals)
actions-by-need/focus/FocusActions: BLOCK_DISTRACTIONS -> rest (sleep and passive recovery; cost-signals)
actions-by-need/focus/FocusActions: FOCUS_BREATH_DRILL -> sedentary (seated cognitive, social or administrative work; cost-signals)
actions-by-need/focus/FocusActions: POSTURE_AND_LIGHTING -> rest (sleep and passive recovery; cost-signals)
actions-by-need/focus/FocusActions: MICRO_BREAK_PROTOCOL -> rest (sleep and passive recovery; cost-signals)
actions-by-need/focus/FocusActions: CAFFEINATE_OR_TEA -> sedentary (seated cognitive, social or administrative work; cost-signals)
actions-by-need/focus/FocusActions: MORNING_PLANNING_RITUAL -> rest (sleep and passive recovery; cost-signals)
actions-by-need/focus/FocusActions: END_OF_DAY_REVIEW -> rest (sleep and passive recovery; cost-signals)
actions-by-need/focus/FocusActions: ASSIGN_TASK_BUDDIES -> rest (sleep and passive recovery; cost-signals)
actions-by-need/focus/FocusActions: QUIET_ZONE_ENFORCEMENT -> rest (sleep and passive recovery; cost-signals)
actions-by-need/freedom/FreedomActions: NEGOTIATE_AUTONOMY_PACT -> rest (sleep and passive recovery; cost-signals)
actions-by-need/freedom/FreedomActions: DECLARE_PERSONAL_BOUNDARIES -> rest (sleep and passive recovery; cost-signals)
actions-by-need/freedom/FreedomActions: RESERVE_FREE_TIME_BLOCKS -> rest (sleep and passive recovery; cost-signals)
actions-by-need/freedom/FreedomActions: TRAVEL_WITHOUT_ESCORT -> rest (sleep and passive recovery; cost-signals)
actions-by-need/freedom/FreedomActions: CHOOSE_WORK_ASSIGNMENT -> rest (sleep and passive recovery; cost-signals)
actions-by-need/freedom/FreedomActions: REFUSE_UNJUST_ORDER -> rest (sleep and passive recovery; cost-signals)
actions-by-need/freedom/FreedomActions: SWITCH_PATRON_OR_GUILD -> rest (sleep and passive recovery; cost-signals)
actions-by-need/freedom/FreedomActions: RENOUNCE_DEBT -> rest (sleep and passive recovery; cost-signals)
actions-by-need/freedom/FreedomActions: SECURE_TRAVEL_PERMIT -> rest (sleep and passive recovery; cost-signals)
actions-by-need/freedom/FreedomActions: ACQUIRE_PRIVATE_WORKSPACE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/freedom/FreedomActions: HIDE_TRAIL -> rest (sleep and passive recovery; cost-signals)
actions-by-need/freedom/FreedomActions: ENCRYPT_COMMUNICATION -> rest (sleep and passive recovery; cost-signals)
actions-by-need/freedom/FreedomActions: PORTABLE_TOOLKIT -> rest (sleep and passive recovery; cost-signals)
actions-by-need/freedom/FreedomActions: SET_OWN_PRICES -> rest (sleep and passive recovery; cost-signals)
actions-by-need/freedom/FreedomActions: CHART_NEW_ROUTE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/freedom/FreedomActions: ASSERT_RIGHT_TO_SILENCE -> sedentary (seated cognitive, social or administrative work; cost-signals)
actions-by-need/health/HealthActions: HEAL_SELF -> rest (sleep and passive recovery; cost-signals)
actions-by-need/health/HealthActions: HEAL_OTHER -> rest (sleep and passive recovery; cost-signals)
actions-by-need/health/HealthActions: APPLY_BANDAGE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/health/HealthActions: CLEAN_WOUND -> rest (sleep and passive recovery; cost-signals)
actions-by-need/health/HealthActions: APPLY_HERBAL_REMEDY -> rest (sleep and passive recovery; cost-signals)
actions-by-need/health/HealthActions: DRINK_MEDICINE -> sedentary (seated cognitive, social or administrative work; cost-signals)
actions-by-need/health/HealthActions: REST_FOR_RECOVERY -> rest (sleep and passive recovery; cost-signals)
actions-by-need/health/HealthActions: SEEK_HEALER -> rest (sleep and passive recovery; cost-signals)
actions-by-need/health/HealthActions: PRAY_FOR_HEALTH -> rest (sleep and passive recovery; cost-signals)
actions-by-need/health/HealthActions: PERFORM_RITUAL_HEALING -> rest (sleep and passive recovery; cost-signals)
actions-by-need/health/HealthActions: CLEAN_BODY -> rest (sleep and passive recovery; cost-signals)
actions-by-need/health/HealthActions: EAT_HEALTHY_MEAL -> rest (sleep and passive recovery; cost-signals)
actions-by-need/health/HealthActions: ISOLATE_SELF -> rest (sleep and passive recovery; cost-signals)
actions-by-need/health/HealthActions: MASSAGE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/health/HealthActions: CHECK_HEALTH -> rest (sleep and passive recovery; cost-signals)
actions-by-need/health/HealthActions: MAKE_MEDICINE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/honor/HonorActions: KEEP_WORD -> rest (sleep and passive recovery; cost-signals)
actions-by-need/honor/HonorActions: RETURN_FOUND_PROPERTY -> rest (sleep and passive recovery; cost-signals)
actions-by-need/honor/HonorActions: DECLINE_UNFAIR_ADVANTAGE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/honor/HonorActions: STAND_WITNESS_TRUTH -> rest (sleep and passive recovery; cost-signals)
actions-by-need/honor/HonorActions: ACCEPT_DUEL_FORMAL -> rest (sleep and passive recovery; cost-signals)
actions-by-need/honor/HonorActions: ISSUE_FORMAL_APOLOGY -> rest (sleep and passive recovery; cost-signals)
actions-by-need/honor/HonorActions: DEFEND_WEAK -> rest (sleep and passive recovery; cost-signals)
actions-by-need/honor/HonorActions: UPHOLD_OATH_GUILD -> rest (sleep and passive recovery; cost-signals)
actions-by-need/honor/HonorActions: PAY_DEBT_PROMPTLY -> rest (sleep and passive recovery; cost-signals)
actions-by-need/honor/HonorActions: REFUSE_BRIBE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/honor/HonorActions: PUBLIC_CODE_DECLARATION -> rest (sleep and passive recovery; cost-signals)
actions-by-need/honor/HonorActions: HONOR_FAIR_CONTRACT -> rest (sleep and passive recovery; cost-signals)
actions-by-need/honor/HonorActions: RETURN_LOOT_TO_RIGHTFUL -> rest (sleep and passive recovery; cost-signals)
actions-by-need/honor/HonorActions: SHARE_CREDIT -> rest (sleep and passive recovery; cost-signals)
actions-by-need/honor/HonorActions: ACCEPT_JUST_PENALTY -> rest (sleep and passive recovery; cost-signals)
actions-by-need/honor/HonorActions: MEDIATE_WITHOUT_FAVOR -> rest (sleep and passive recovery; cost-signals)
actions-by-need/hope/HopeActions: DAWN_TORCH_RUN -> rest (sleep and passive recovery; cost-signals)
actions-by-need/hope/HopeActions: FOUNDATION_STONE_RITUAL -> rest (sleep and passive recovery; cost-signals)
actions-by-need/hope/HopeActions: FUTURE_MURAL_PAINT -> rest (sleep and passive recovery; cost-signals)
actions-by-need/hope/HopeActions: SEED_SHARE_FAIR -> rest (sleep and passive recovery; cost-signals)
actions-by-need/hope/HopeActions: APPRENTICE_DAY -> rest (sleep and passive recovery; cost-signals)
actions-by-need/hope/HopeActions: GOOD_NEWS_CRIER -> rest (sleep and passive recovery; cost-signals)
actions-by-need/hope/HopeActions: LIGHTS_FESTIVAL -> rest (sleep and passive recovery; cost-signals)
actions-by-need/hope/HopeActions: GREEN_PATCH_START -> rest (sleep and passive recovery; cost-signals)
actions-by-need/hope/HopeActions: SCOUTS_NEW_HORIZONS -> rest (sleep and passive recovery; cost-signals)
actions-by-need/hope/HopeActions: SANCTUARY_VIGIL -> rest (sleep and passive recovery; cost-signals)
actions-by-need/hope/HopeActions: PUBLIC_GOAL_TRACKER -> rest (sleep and passive recovery; cost-signals)
actions-by-need/hope/HopeActions: REPAIR_BLITZ -> rest (sleep and passive recovery; cost-signals)
actions-by-need/hope/HopeActions: STORY_CIRCLE_HEROES -> rest (sleep and passive recovery; cost-signals)
actions-by-need/hope/HopeActions: MARKET_STARTER_KITS -> rest (sleep and passive recovery; cost-signals)
actions-by-need/hope/HopeActions: HEALERS_ROUND -> rest (sleep and passive recovery; cost-signals)
actions-by-need/hope/HopeActions: HOPE_CHEST_PLEDGE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/hygiene/HygieneActions: WASH_HANDS -> sedentary (seated cognitive, social or administrative work; cost-signals)
actions-by-need/hygiene/HygieneActions: BATHE_IN_RIVER -> rest (sleep and passive recovery; cost-signals)
actions-by-need/hygiene/HygieneActions: TAKE_BATH -> rest (sleep and passive recovery; cost-signals)
actions-by-need/hygiene/HygieneActions: CLEAN_BODY_WITH_ASH -> rest (sleep and passive recovery; cost-signals)
actions-by-need/hygiene/HygieneActions: CLEAN_CLOTHES -> rest (sleep and passive recovery; cost-signals)
actions-by-need/hygiene/HygieneActions: APPLY_SCENT -> sedentary (seated cognitive, social or administrative work; cost-signals)
actions-by-need/hygiene/HygieneActions: CLEAN_HOME -> rest (sleep and passive recovery; cost-signals)
actions-by-need/hygiene/HygieneActions: DISPOSE_WASTE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/hygiene/HygieneActions: CLEAN_WOUNDS -> rest (sleep and passive recovery; cost-signals)
actions-by-need/hygiene/HygieneActions: RITUAL_CLEANSING -> rest (sleep and passive recovery; cost-signals)
actions-by-need/identity/IdentityActions: DECLARE_CLAN_AFFILIATION -> rest (sleep and passive recovery; cost-signals)
actions-by-need/identity/IdentityActions: WEAR_HERALDIC_MARKS -> rest (sleep and passive recovery; cost-signals)
actions-by-need/identity/IdentityActions: GENEALOGY_RECITAL -> rest (sleep and passive recovery; cost-signals)
actions-by-need/identity/IdentityActions: RITE_OF_NAMING_OR_RENAMING -> rest (sleep and passive recovery; cost-signals)
actions-by-need/identity/IdentityActions: PERSONAL_CREST_DESIGN -> rest (sleep and passive recovery; cost-signals)
actions-by-need/identity/IdentityActions: LINEAGE_MARK_TATTOO -> rest (sleep and passive recovery; cost-signals)
actions-by-need/identity/IdentityActions: SIGNATURE_STYLE_CRAFT -> rest (sleep and passive recovery; cost-signals)
actions-by-need/identity/IdentityActions: OATH_TO_CODE_OR_PATRON -> rest (sleep and passive recovery; cost-signals)
actions-by-need/identity/IdentityActions: MENTOR_LINE_ACKNOWLEDGE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/identity/IdentityActions: PILGRIMAGE_TO_ORIGIN_SITE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/identity/IdentityActions: CLAN_SERVICE_DAY -> rest (sleep and passive recovery; cost-signals)
actions-by-need/identity/IdentityActions: DIALECT_OR_SONG_KEEP -> rest (sleep and passive recovery; cost-signals)
actions-by-need/identity/IdentityActions: TOTEM_OBJECT_CONSECRATE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/identity/IdentityActions: ROLE_MASTERY_BADGE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/identity/IdentityActions: PERSONAL_CHRONICLE_ENTRY -> rest (sleep and passive recovery; cost-signals)
actions-by-need/identity/IdentityActions: BOUNDARY_STATEMENT -> rest (sleep and passive recovery; cost-signals)
actions-by-need/innovation-rep/InnovationRepActions: PROTOTYPE_BENCH_SETUP -> rest (sleep and passive recovery; cost-signals)
actions-by-need/innovation-rep/InnovationRepActions: CONTROLLED_TRIAL_RUN -> rest (sleep and passive recovery; cost-signals)
actions-by-need/innovation-rep/InnovationRepActions: GUILD_COLLOQUIUM -> rest (sleep and passive recovery; cost-signals)
actions-by-need/innovation-rep/InnovationRepActions: FIELD_DEMONSTRATION -> rest (sleep and passive recovery; cost-signals)
actions-by-need/innovation-rep/InnovationRepActions: IMPROVEMENT_KATA -> rest (sleep and passive recovery; cost-signals)
actions-by-need/innovation-rep/InnovationRepActions: SUGGESTION_CHEST -> rest (sleep and passive recovery; cost-signals)
actions-by-need/innovation-rep/InnovationRepActions: INNOVATION_BOUNTY -> rest (sleep and passive recovery; cost-signals)
actions-by-need/innovation-rep/InnovationRepActions: CROSS_POLLINATION_VISIT -> rest (sleep and passive recovery; cost-signals)
actions-by-need/innovation-rep/InnovationRepActions: POSTMORTEM_SCROLL -> rest (sleep and passive recovery; cost-signals)
actions-by-need/innovation-rep/InnovationRepActions: SANDBOX_EXPERIMENT_ZONE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/innovation-rep/InnovationRepActions: STANDARDIZE_SUCCESS -> rest (sleep and passive recovery; cost-signals)
actions-by-need/innovation-rep/InnovationRepActions: SALVAGE_TO_TOOL_PROGRAM -> rest (sleep and passive recovery; cost-signals)
actions-by-need/innovation-rep/InnovationRepActions: OPEN_WORKSHOP_DAY -> rest (sleep and passive recovery; cost-signals)
actions-by-need/innovation-rep/InnovationRepActions: PATENT_SEAL_REGISTRY -> rest (sleep and passive recovery; cost-signals)
actions-by-need/innovation-rep/InnovationRepActions: APPRENTICE_INNOVATOR_TRACK -> rest (sleep and passive recovery; cost-signals)
actions-by-need/innovation-rep/InnovationRepActions: RISK_SHARE_CHARTER -> rest (sleep and passive recovery; cost-signals)
actions-by-need/inspiration/InspirationActions: SEEK_MUSE_IN_NATURE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/inspiration/InspirationActions: VISIT_MASTERWORKS -> rest (sleep and passive recovery; cost-signals)
actions-by-need/inspiration/InspirationActions: CREATIVE_JAM_SESSION -> rest (sleep and passive recovery; cost-signals)
actions-by-need/inspiration/InspirationActions: RITUAL_OF_SPARK -> rest (sleep and passive recovery; cost-signals)
actions-by-need/inspiration/InspirationActions: COLLECT_MOTIFS_FIELD -> rest (sleep and passive recovery; cost-signals)
actions-by-need/inspiration/InspirationActions: DREAM_NOTEBOOK -> sedentary (seated cognitive, social or administrative work; cost-signals)
actions-by-need/inspiration/InspirationActions: CHANCE_CONSTRAINTS -> rest (sleep and passive recovery; cost-signals)
actions-by-need/inspiration/InspirationActions: CROSS_DISCIPLINE_EXPOSURE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/inspiration/InspirationActions: PROMPT_CARD_DRAW -> rest (sleep and passive recovery; cost-signals)
actions-by-need/inspiration/InspirationActions: STORY_PROMPT_EXCHANGE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/inspiration/InspirationActions: ONE_HOUR_PROTOTYPE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/inspiration/InspirationActions: INSPIRATION_WALKABOUT -> rest (sleep and passive recovery; cost-signals)
actions-by-need/inspiration/InspirationActions: PATRON_BRIEF_SESSION -> rest (sleep and passive recovery; cost-signals)
actions-by-need/inspiration/InspirationActions: FAILURE_GALLERY -> rest (sleep and passive recovery; cost-signals)
actions-by-need/inspiration/InspirationActions: MENTOR_CRITIQUE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/inspiration/InspirationActions: ARCHIVE_REFERENCE_BOARD -> rest (sleep and passive recovery; cost-signals)
actions-by-need/integrity/IntegrityActions: TELL_TRUTH_UNDER_OATH -> rest (sleep and passive recovery; cost-signals)
actions-by-need/integrity/IntegrityActions: REFUSE_PLAGIARISM -> rest (sleep and passive recovery; cost-signals)
actions-by-need/integrity/IntegrityActions: RETURN_OVERPAYMENT -> rest (sleep and passive recovery; cost-signals)
actions-by-need/integrity/IntegrityActions: CORRECT_RECORDS_ERROR -> rest (sleep and passive recovery; cost-signals)
actions-by-need/integrity/IntegrityActions: REPORT_CONFLICT_OF_INTEREST -> rest (sleep and passive recovery; cost-signals)
actions-by-need/integrity/IntegrityActions: DECLARE_GIFTS_HOSPITALITY -> rest (sleep and passive recovery; cost-signals)
actions-by-need/integrity/IntegrityActions: KEEP_CONFIDENTIALITY -> rest (sleep and passive recovery; cost-signals)
actions-by-need/integrity/IntegrityActions: REFUSE_FALSE_TESTIMONY -> rest (sleep and passive recovery; cost-signals)
actions-by-need/integrity/IntegrityActions: HONOR_BOUNDARY_CONSENT -> rest (sleep and passive recovery; cost-signals)
actions-by-need/integrity/IntegrityActions: FAIR_WEIGHTS_MAINTAIN -> rest (sleep and passive recovery; cost-signals)
actions-by-need/integrity/IntegrityActions: AVOID_NEPOTISM_IN_ASSIGNMENT -> rest (sleep and passive recovery; cost-signals)
actions-by-need/integrity/IntegrityActions: PROPER_ATTRIBUTION -> rest (sleep and passive recovery; cost-signals)
actions-by-need/integrity/IntegrityActions: AUDIT_PERSONAL_ACCOUNTS -> rest (sleep and passive recovery; cost-signals)
actions-by-need/integrity/IntegrityActions: RECUSE_FROM_DECISION -> rest (sleep and passive recovery; cost-signals)
actions-by-need/integrity/IntegrityActions: ETHICAL_SOURCING -> rest (sleep and passive recovery; cost-signals)
actions-by-need/integrity/IntegrityActions: CODE_OF_CONDUCT_REFRESH -> rest (sleep and passive recovery; cost-signals)
actions-by-need/joy/JoyActions: PLAY_MUSIC_TOGETHER -> rest (sleep and passive recovery; cost-signals)
actions-by-need/joy/JoyActions: DANCE_RING -> rest (sleep and passive recovery; cost-signals)
actions-by-need/joy/JoyActions: JOKE_STORY_SWAP -> rest (sleep and passive recovery; cost-signals)
actions-by-need/joy/JoyActions: SWEET_TREAT_SHARE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/joy/JoyActions: PICNIC_OUTING -> rest (sleep and passive recovery; cost-signals)
actions-by-need/joy/JoyActions: FIREWORK_SPARK_SHOW -> rest (sleep and passive recovery; cost-signals)
actions-by-need/joy/JoyActions: CHILDREN_GAMES_HOST -> rest (sleep and passive recovery; cost-signals)
actions-by-need/joy/JoyActions: HOBBY_CRAFT_HOUR -> rest (sleep and passive recovery; cost-signals)
actions-by-need/joy/JoyActions: PRAISE_WITH_LAUGHTER -> rest (sleep and passive recovery; cost-signals)
actions-by-need/joy/JoyActions: SURPRISE_GIFT_TOKEN -> rest (sleep and passive recovery; cost-signals)
actions-by-need/joy/JoyActions: COMMUNITY_THEATRE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/joy/JoyActions: FISHING_PLEASURE_TRIP -> rest (sleep and passive recovery; cost-signals)
actions-by-need/joy/JoyActions: DRESS_UP_FEST_ATTIRE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/joy/JoyActions: GARDEN_BLOSSOM_WALK -> rest (sleep and passive recovery; cost-signals)
actions-by-need/joy/JoyActions: FRIENDSHIP_TOAST -> rest (sleep and passive recovery; cost-signals)
actions-by-need/joy/JoyActions: FUN_COMPETITION_FAIR -> rest (sleep and passive recovery; cost-signals)
actions-by-need/justice/JusticeActions: ACCUSE_OFFENDER -> rest (sleep and passive recovery; cost-signals)
actions-by-need/justice/JusticeActions: GATHER_EVIDENCE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/justice/JusticeActions: TESTIFY -> rest (sleep and passive recovery; cost-signals)
actions-by-need/justice/JusticeActions: DEMAND_RESTITUTION -> rest (sleep and passive recovery; cost-signals)
actions-by-need/justice/JusticeActions: PAY_BLOOD_PRICE -> sedentary (seated cognitive, social or administrative work; cost-signals)
actions-by-need/justice/JusticeActions: PUBLIC_APOLOGY -> sedentary (seated cognitive, social or administrative work; cost-signals)
actions-by-need/justice/JusticeActions: REPUTATION_RESTORATION -> rest (sleep and passive recovery; cost-signals)
actions-by-need/justice/JusticeActions: NEGOTIATE_SETTLEMENT -> rest (sleep and passive recovery; cost-signals)
actions-by-need/justice/JusticeActions: MEDIATE_REPARATION -> rest (sleep and passive recovery; cost-signals)
actions-by-need/justice/JusticeActions: SHUN_OFFENDER -> sedentary (seated cognitive, social or administrative work; cost-signals)
actions-by-need/justice/JusticeActions: CURSE_OFFENDER -> rest (sleep and passive recovery; cost-signals)
actions-by-need/justice/JusticeActions: DUEL_OF_HONOR -> rest (sleep and passive recovery; cost-signals)
actions-by-need/justice/JusticeActions: APPEAL_VERDICT -> rest (sleep and passive recovery; cost-signals)
actions-by-need/justice/JusticeActions: REDEEM_OFFENDER -> rest (sleep and passive recovery; cost-signals)
actions-by-need/justice/JusticeActions: PLEDGE_NO_REVENGE -> sedentary (seated cognitive, social or administrative work; cost-signals)
actions-by-need/justice/JusticeActions: VOW_REVENGE -> sedentary (seated cognitive, social or administrative work; cost-signals)
actions-by-need/knowledge/KnowledgeActions: VISIT_LIBRARY -> rest (sleep and passive recovery; cost-signals)
actions-by-need/knowledge/KnowledgeActions: STUDY_SCROLL -> rest (sleep and passive recovery; cost-signals)
actions-by-need/knowledge/KnowledgeActions: COPY_MANUSCRIPT -> rest (sleep and passive recovery; cost-signals)
actions-by-need/knowledge/KnowledgeActions: ATTEND_LECTURE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/knowledge/KnowledgeActions: OBSERVE_MASTER_WORK -> rest (sleep and passive recovery; cost-signals)
actions-by-need/knowledge/KnowledgeActions: RUN_EXPERIMENT -> rest (sleep and passive recovery; cost-signals)
actions-by-need/knowledge/KnowledgeActions: FIELD_RESEARCH -> rest (sleep and passive recovery; cost-signals)
actions-by-need/knowledge/KnowledgeActions: GATHER_ORAL_TRADITIONS -> rest (sleep and passive recovery; cost-signals)
